Date;Open;High;Low;Close;Adj Close;Volume;rt;(rt-rtbar)^2;;;;;;
28/07/2017;72.669.998;73.309.998;72.540.001;73.040.001;71.641.357;18306700;-0.001641628;9.29403E-06;;;;;;
31/07/2017;73.300.003;73.440.002;72.410.004;72.699.997;71.307.861;23600100;-0.004665907;3.688E-05;;;;;;
01/08/2017;73.099.998;73.419.998;72.489.998;72.580.002;71.190.170;22132300;-0.001651914;9.35685E-06;;;;;;
02/08/2017;72.550.003;72.559.998;71.440.002;72.260.002;70.876.297;26499200;-0.004418676;3.39383E-05;;;;;;
03/08/2017;72.190.002;72.440.002;71.849.998;72.150.002;70.768.402;18214400;-0.00152344;8.58738E-06;;;;;;
04/08/2017;72.400.002;73.040.001;72.239.998;72.680.000;71.288.246;22579000;0.007318931;3.49511E-05;;;;;;
07/08/2017;72.800.003;72.900.002;72.260.002;72.400.002;71.013.618;18705700;-0.003859917;2.77402E-05;;;;;;
08/08/2017;72.089.996;73.129.997;71.750.000;72.790.001;71.396.149;22044600;0.00537227;1.57235E-05;;;;;;
09/08/2017;72.250.000;72.510.002;72.050.003;72.470.001;71.082.275;22213400;-0.0044059;3.37896E-05;;;;;;
10/08/2017;71.900.002;72.190.002;71.349.998;71.410.004;70.042.572;24734500;-0.014734725;0.000260555;;;;;;
11/08/2017;71.610.001;72.699.997;71.279.999;72.500.000;71.111.694;21443700;0.01514859;0.000188832;;;;;;
14/08/2017;73.059.998;73.720.001;72.949.997;73.589.996;72.180.817;20067300;0.014922531;0.00018267;;;;;;
15/08/2017;73.589.996;73.589.996;73.040.001;73.220.001;72.200.539;19181400;-0.005040471;4.15697E-05;;;;;;
16/08/2017;73.339.996;74.099.998;73.169.998;73.650.002;72.624.557;18150400;0.005855549;1.97897E-05;;;;;;
17/08/2017;73.580.002;73.870.003;72.400.002;72.400.002;71.391.968;22977500;-0.017117843;0.000343169;;;;;;
18/08/2017;72.269.997;72.839.996;71.930.000;72.489.998;71.480.705;18761500;0.001242267;2.71314E-08;;;;;;
21/08/2017;72.470.001;72.480.003;71.699.997;72.150.002;71.145.439;17734800;-0.004701281;3.73109E-05;;;;;;
22/08/2017;72.349.998;73.239.998;72.349.998;73.160.004;72.141.380;14343700;0.013901565;0.000156115;;;;;;
23/08/2017;72.959.999;73.150.002;72.529.999;72.720.001;71.707.504;13766500;-0.006032415;5.53446E-05;;;;;;
24/08/2017;72.739.998;72.860.001;72.070.000;72.690.002;71.677.925;17098300;-0.000412613;3.31093E-06;;;;;;
25/08/2017;72.860.001;73.349.998;72.480.003;72.820.000;71.806.107;12794300;0.001786792;1.44255E-07;;;;;;
28/08/2017;73.059.998;73.089.996;72.550.003;72.830.002;71.815.979;14569700;0.000137343;1.61199E-06;;;;;;
29/08/2017;72.250.000;73.160.004;72.050.003;73.050.003;72.032.913;11478400;0.003016194;2.58956E-06;;;;;;
30/08/2017;73.010.002;74.209.999;72.830.002;74.010.002;72.979.546;16897800;0.013056067;0.000135701;;;;;;
31/08/2017;74.029.999;74.959.999;73.800.003;74.769.997;73.728.958;27652800;0.010216449;7.76067E-05;;;;;;
01/09/2017;74.709.999;74.739.998;73.639.999;73.940.002;72.910.522;21736200;-0.011162714;0.000157997;;;;;;
05/09/2017;73.339.996;73.889.999;72.980.003;73.610.001;72.585.106;21556000;-0.004473081;3.45751E-05;;;;;;
06/09/2017;73.739.998;74.040.001;73.349.998;73.400.002;72.378.044;16535800;-0.002856937;1.8181E-05;;;;;;
07/09/2017;73.680.000;74.599.998;73.599.998;74.339.996;73.304.947;17471200;0.012725148;0.000128101;;;;;;
08/09/2017;74.330.002;74.440.002;73.839.996;73.980.003;72.949.966;14703800;-0.004854284;3.92035E-05;;;;;;
11/09/2017;74.309.998;74.940.002;74.309.998;74.760.002;73.719.109;17910400;0.010488182;8.24682E-05;;;;;;
12/09/2017;74.760.002;75.239.998;74.370.003;74.680.000;73.640.221;14394900;-0.001070691;6.13887E-06;;;;;;
13/09/2017;74.930.000;75.230.003;74.550.003;75.209.999;74.162.834;13380800;0.007071869;3.20909E-05;;;;;;
